ID,Descripción,Fecha de verificación,Próxima Verificación,Calendario de Verificacion,Estado,Método de verificación,Error-,Error+,Resolución+,Resolución-,Patrón,ID patrón,Usuario,Linea del cliente,Formato,Status,Periodo
FIX-6725-336,GO/ NO GO,09/04/2021,09/10/2021,19/09/2021,Activo,INTERNO,NA,NA,GO,NA,SMART SCOPE,INT066,Moldeo,HEL-6725-000,,Calibración Vigente,183
FIX-5134-335,GO/ NO GO PLANICIDAD,12/07/2021,11/01/2022,22/12/2021,Activo,INTERNO,NA,NA,GO,NOGO,SMART SCOPE,INT366,Estampados,DEN-5134-100,,Calibración Vigente,183
FIX-6798-334,GO/ NO GO,04/01/2021,06/07/2021,16/06/2021,Reparación,INTERNO,NA,NA,GO,NOGO,Micrómetro,INT306,Moldeo,HEL-6798-000,,Reparación,183
FIX-6798-333,GO/ NO GO,01/07/2021,31/12/2021,11/12/2021,Activo,INTERNO,NA,NA,GO,NOGO,Micrómetro,INT306,Moldeo,HEL-6798-000,,Calibración Vigente,183
FIX-6798-332,GO/ NO GO,02/07/2021,01/01/2022,12/12/2021,Activo,INTERNO,NA,NA,GO,NOGO,Micrómetro,INT306,Moldeo,HEL-6798-000,,Calibración Vigente,183
FIX-10027-331,Ver. Altura de Pines,18/05/2021,17/11/2021,28/10/2021,Activo,INTERNO,NA,NA,GO,NOGO,SMART SCOPE,INT366,Moldeo,BRO-10027-000,,Calibración Vigente,183
FIX-6798-330,GO/ NO GO,04/01/2021,06/07/2021,16/06/2021,Reparación,INTERNO,NA,NA,GO,NOGO,Micrómetro,INT306,Moldeo,HEL-6798-000,,Reparación,183
FIX-10027-329,Verificacion Altura pines,18/05/2021,17/11/2021,28/10/2021,Activo,,NA,NA,NA,NA,SMART SCOPE,INT366,Moldeo,BRO-10027-000,,Calibración Vigente,183
FIX-5671-328,Apertura GO / NO GO,05/06/2021,05/12/2021,15/11/2021,Activo,INTERNO,NA,NA,GO,NOGO,Micrómetro,INT192,Moldeo,YUH-DAK 4,,Calibración Vigente,183
FIX-5671-327,Apertura GO / NO GO,08/06/2021,08/12/2021,18/11/2021,Activo,INTERNO,NA,NA,GO,NOGO,Micrómetro,INT192,Moldeo,COT-5671-000,,Calibración Vigente,183
FIX-10027-326,Verificacion TP ,18/05/2021,17/11/2021,28/10/2021,Activo,INTERNO,NA,NA,GO,NOGO,CMM,INT530,Moldeo,BRO-10027-000,,Calibración Vigente,183
FIX-10008-323,Verificación,03/09/2020,05/03/2021,13/02/2021,En proceso,INTERNO,NA,NA,NA,NA,SMART SCOPE,INT066,Estampados,OMRON,,En proceso,183
FIX-9985-322,GO / NO GO,13/07/2021,13/01/2022,24/12/2021,Activo,INTERNO,NA,NA,GO,NOGO,SMART SCOPE,INT366,Moldeo,XEN-9985-000,,Calibración Vigente,184
FIX-9985-321,GO / NO GO,13/07/2021,13/01/2022,24/12/2021,Activo,INTERNO,NA,NA,GO,NOGO,SMART SCOPE,INT366,Moldeo,XEN-9985-000,,Calibración Vigente,184
FIX-7614-320,GO / NO GO,08/06/2021,08/12/2021,18/11/2021,Activo,INTERNO,NA,NA,GO,NOGO,CMM,INT206,Calidad,Incoming,,Calibración Vigente,183
FIX-6151-319,VRIFICACION PUNTO DE INYECCION,27/03/2021,26/09/2021,06/09/2021,Activo,INTERNO,NA,NA,GO,NOGO,SMART SCOPE,INT066,Moldeo,HEL-6151-000,,Calibración Vigente,183
FIX-6151-318,VRIFICACION PUNTO DE INYECCION,27/03/2021,26/09/2021,06/09/2021,Activo,INTERNO,NA,NA,GO,NOGO,SMART SCOPE,INT066,Moldeo,HEL-6151-000,,Calibración Vigente,183
FIX-9304-317,TP PINES,04/05/2021,03/11/2021,14/10/2021,Activo,INTERNO,NA,NA,GO,NOGO,SMART SCOPE,INT066,Estampados,BOS-9304-000,,Calibración Vigente,183
FIX-9307-316,TP PINES,11/03/2021,10/09/2021,21/08/2021,Activo,INTERNO,NA,NA,GO,NOGO,SMART SCOPE,INT066,Estampados,BOS-9307-000,,Calibración Vigente,183
FIX-7197-315,GO,08/02/2021,10/08/2021,21/07/2021,Activo,INTERNO,NA,NA,GO,NOGO,Micrómetro,INT306,Estampados,COT-7197-000,,En Proceso de Calibración,183
FIX-7197-314,GO,10/08/2020,09/02/2021,20/01/2021,Extraviado,INTERNO,NA,NA,GO,NOGO,Micrómetro,INT306,Estampados,COT-7197-000,,Baja,183
FIX-9278-313,GO / NO GO,08/02/2020,09/08/2020,20/07/2020,Baja,INTERNO,NA,NA,GO,NOGO,Micrómetro,INT306,Cold Forging,EMC-9278-000,,Baja,183
FIX-9278-312,GO / NO GO,08/02/2020,09/08/2020,20/07/2020,Baja,INTERNO,NA,NA,GO,NOGO,Micrómetro,INT306,Cold Forging,EMC-9278-000,,Baja,183
FIX-9278-311,GO / NO GO,08/02/2020,09/08/2020,20/07/2020,Baja,INTERNO,NA,NA,GO,NOGO,Micrómetro,INT306,Cold Forging,EMC-9278-000,,Baja,183
FIX-5671-310,Apertura GO / NO GO,24/07/2021,23/01/2022,03/01/2022,Activo,INTERNO,NA,NA,GO,NOGO,Micrómetro,INT466,Moldeo,Inspeccion,,Calibración Vigente,183
FIX-5671-309,Apertura GO / NO GO,24/07/2021,23/01/2022,03/01/2022,Activo,INTERNO,NA,NA,GO,NOGO,Micrómetro,INT466,Moldeo,YUH-DAK 4,,Calibración Vigente,183
FIX-5671-308,Apertura GO / NO GO,24/07/2021,23/01/2022,03/01/2022,Activo,INTERNO,NA,NA,GO,NOGO,Micrómetro,INT466,Moldeo,COT-5671-000,,Calibración Vigente,183
FIX-EFI(FAMILIA)-307,DIA. 2.96MM,19/01/2021,21/07/2021,01/07/2021,Baja,INTERNO,NA,NA,GO,NOGO,Micrómetro,INT306,Estampados,Electrofil,,Baja,183
FIX-EFI(FAMILIA)-306,DIA. 2.01MM,21/07/2020,20/01/2021,31/12/2020,Baja,INTERNO,NA,NA,GO,NOGO,Micrómetro,INT306,Estampados,Electrofil,,Baja,183
FIX-EFI(FAMILIA)-305,DIA. 2.01MM,06/01/2021,08/07/2021,18/06/2021,Baja,INTERNO,NA,NA,GO,NOGO,Micrómetro,INT466,Estampados,Electrofil,,Baja,183
FIX-EFI(FAMILIA)-304,DIA. 2.01MM,19/01/2021,21/07/2021,01/07/2021,Baja,INTERNO,NA,NA,GO,NOGO,Micrómetro,INT466,Estampados,Electrofil,,Baja,183
FIX-EFI(FAMILIA)-303,DIA. 2.96MM,20/01/2020,21/07/2020,01/07/2020,Baja,INTERNO,NA,NA,GO,NOGO,Micrómetro,INT466,Estampados,Electrofil,,Baja,183
FIX-EFI(FAMILIA)-302,DIA. 2.96MM,06/01/2021,08/07/2021,18/06/2021,Baja,INTERNO,NA,NA,GO,NOGO,Micrómetro,INT466,Estampados,Electrofil,,Baja,183
FIX-10009-301,GO / NO GO,16/07/2021,16/01/2022,27/12/2021,Activo,INTERNO,NA,NA,GO,NOGO,Calibrador,INT469,Estampados,BOS-10009-301,,Calibración Vigente,184
FIX-6725-300,GO / NO GO,18/05/2021,17/11/2021,28/10/2021,Activo,INTERNO,NA,NA,GO,NOGO,Micrómetro,INT306,Moldeo,HEL-6725-000,,Calibración Vigente,183
FIX-6798-299,GO Diametro(HOP),05/07/2021,04/01/2022,15/12/2021,Activo,INTERNO,NA,NA,GO,NA,SMART SCOPE,INT066,Moldeo,HEL-6798-000,,Calibración Vigente,183
FIX-6798-298,GO Diametro(HOP),05/07/2021,04/01/2022,15/12/2021,Activo,INTERNO,NA,NA,GO,NA,SMART SCOPE,INT066,Moldeo,HEL-6798-000,,Calibración Vigente,183
FIX-6798-297,GO Diametro(HOP),05/07/2021,04/01/2022,15/12/2021,Activo,INTERNO,NA,NA,GO,NA,SMART SCOPE,INT066,Moldeo,HEL-6798-000,,Calibración Vigente,183
FIX-6798-296,GO Diametro(HOP),05/07/2021,04/01/2022,15/12/2021,Activo,INTERNO,NA,NA,GO,NA,SMART SCOPE,INT066,Moldeo,HEL-6798-000,,Calibración Vigente,183
FIX-6798-295,GO Diametro(HOP),05/07/2021,04/01/2022,15/12/2021,Activo,INTERNO,NA,NA,GO,NA,SMART SCOPE,INT066,Moldeo,HEL-6798-000,,Calibración Vigente,183
FIX-6798-294,GO Diametro(HOP),05/07/2021,04/01/2022,15/12/2021,Activo,INTERNO,NA,NA,GO,NA,SMART SCOPE,INT066,Moldeo,HEL-6798-000,,Calibración Vigente,183
FIX-6798-293,GO Diametro(HOP),05/07/2021,04/01/2022,15/12/2021,Activo,INTERNO,NA,NA,GO,NA,SMART SCOPE,INT066,Moldeo,HEL-6798-000,,Calibración Vigente,183
FIX-6798-292,GO Diametro(HOP),05/07/2021,04/01/2022,15/12/2021,Activo,INTERNO,NA,NA,GO,NA,SMART SCOPE,INT066,Moldeo,HEL-6798-000,,Calibración Vigente,183
FIX-6151-291,Verificacion Dia. ,08/05/2021,07/11/2021,18/10/2021,Activo,INTERNO,NA,NA,GO,NA,SMART SCOPE,INT066,Moldeo,HEL-6151-000,,Calibración Vigente,183
FIX-6798-290,GO / NO GO,08/05/2021,07/11/2021,18/10/2021,Activo,INTERNO,NA,NA,GO,NOGO,Micrómetro,INT306,Moldeo,HEL-6798-000,,Calibración Vigente,183
FIX-AUT-9318-289,GO / NO GO,18/09/2020,20/03/2021,28/02/2021,Baja,INTERNO,NA,NA,GO,NOGO,SMART SCOPE,INT066,Cold Forging,EMC-9278-000,,Baja,183
FIX-6725/98-288,GO / NO GO carrier,22/02/2021,24/08/2021,04/08/2021,Activo,INTERNO,NA,NA,GO,NOGO,Micrómetro,INT306,Moldeo,HEL-6725-000,,Calibración Vigente,183
FIX-9278-287,GO / NO GO,08/08/2019,07/02/2020,18/01/2020,Baja,INTERNO,NA,NA,GO,NOGO,SMART SCOPE,INT066,Cold Forging,EMC-9278-000,,Baja,183
FIX-3266-286,GO / NO GO,06/07/2021,05/01/2022,16/12/2021,Activo,INTERNO,NA,NA,GO,NOGO,SMART SCOPE,INT066,Moldeo,COT-3266-000,,Calibración Vigente,183
FIX-3266-285,GO / NO GO,30/07/2019,29/01/2020,09/01/2020,Baja,INTERNO,NA,NA,GO,NOGO,SMART SCOPE,INT066,Moldeo,COT-3266-000,,Baja,183
FIX-4749-284,Verificacion GO / NO GO,18/01/2020,19/07/2020,29/06/2020,Extraviado,INTERNO,NA,NA,GO,NOGO,Micrómetro,INT306,Moldeo,Ethicon,,Baja,183
FIX-6725-283,GO / NO GO,22/07/2019,21/01/2020,01/01/2020,Baja,INTERNO,NA,NA,GO,NOGO,Micrómetro,INT306,Moldeo,HEL-6725-000,,Baja,183
FIX-6798-GR10-282,GO / NO GO,02/07/2021,01/01/2022,12/12/2021,Activo,INTERNO,NA,NA,GO,NOGO,Micrómetro,INT306,Moldeo,HEL-6798-000,,Calibración Vigente,183
FIX-6725-281,GO / NO GO,19/07/2019,18/01/2020,29/12/2019,Baja,INTERNO,NA,NA,GO,NOGO,Micrómetro,INT306,Moldeo,HEL-6725-000,,Baja,183
FIX-6725-280,GO / NO GO,02/07/2021,01/01/2022,12/12/2021,Activo,INTERNO,NA,NA,GO,NOGO,Micrómetro,INT306,Moldeo,HEL-6725-000,,Calibración Vigente,183
FIX-6725-279,GO / NO GO,06/01/2021,08/07/2021,18/06/2021,Reparación,INTERNO,NA,NA,GO,NOGO,Micrómetro,INT306,Moldeo,HEL-6725-000,,Reparación,183
FIX-6725-278,GO / NO GO,23/07/2021,22/01/2022,02/01/2022,Activo,INTERNO,NA,NA,GO,NOGO,Micrómetro,INT306,Moldeo,SORTEO,,Calibración Vigente,183
FIX-6725-277,GO / NO GO,15/01/2021,17/07/2021,27/06/2021,Reparación,INTERNO,NA,NA,GO,NOGO,Micrómetro,INT306,Moldeo,HEL-6725-000,,Reparación,183
FIX-2920-276,Verificacion Term.,10/07/2021,09/01/2022,20/12/2021,Activo,INTERNO,NA,NA,GO,NOGO,SMART SCOPE,INT066,Estampados,Sensata,,Calibración Vigente,183
FIX-2920-275,Verificacion Term.,10/07/2021,09/01/2022,20/12/2021,Activo,INTERNO,NA,NA,GO,NOGO,SMART SCOPE,INT066,Estampados,Sensata,,Calibración Vigente,183
FIX-7336-274,GO / NO GO,30/04/2021,30/10/2021,10/10/2021,Activo,INTERNO,NA,NA,GO,NOGO,Micrómetro,INT306,Estampados,Stratecc,,Calibración Vigente,183
FIX-9318-273,Dia. GO / NO GO,06/07/2019,05/01/2020,16/12/2019,Baja,INTERNO,NA,NA,GO,NOGO,SMART SCOPE,INT066,Cold Forging,AUT-9318-000,,Baja,183
FIX-9318-272,Dia. GO / NO GO,08/06/2021,08/12/2021,18/11/2021,Baja,INTERNO,NA,NA,GO,NOGO,SMART SCOPE,INT066,Cold Forging,AUT-9318-000,,Baja,183
FIX-9318-271,Gage Planicidad,06/07/2021,05/01/2022,16/12/2021,Activo,INTERNO,NA,NA,GO,NOGO,SMART SCOPE,INT066,Cold Forging,AUT-9318-000,,Calibración Vigente,183
FIX-9318-270,Dia. NO GO,15/05/2021,14/11/2021,25/10/2021,Activo,INTERNO,NA,NA,GO,NOGO,SMART SCOPE,INT066,Cold Forging,AUT-9318-000,,Calibración Vigente,183
FIX-9318-269,Dia. NO GO,05/06/2021,05/12/2021,15/11/2021,Activo,INTERNO,NA,NA,GO,NOGO,SMART SCOPE,INT066,Cold Forging,AUT-9318-000,,Calibración Vigente,183
FIX-6798-268,GR10-GO / NO GO,14/04/2021,14/10/2021,24/09/2021,Activo,INTERNO,NA,NA,GO,NOGO,Micrómetro,INT306,Moldeo,HEL-6798-000,,Calibración Vigente,183
FIX-8423-267,GO / NO GO,04/06/2021,04/12/2021,14/11/2021,Activo,INTERNO,NA,NA,GO,NOGO,SMART SCOPE,INT066,Moldeo,SOGEFI,,Calibración Vigente,183
FIX-9318-266,Diametro external,05/06/2021,05/12/2021,15/11/2021,Activo,INTERNO,NA,NA,GO,NOGO,SMART SCOPE,INT066,Cold Forging,AUT-9318-000,,Calibración Vigente,183
FIX-9318-265,Diametro external,05/06/2021,05/12/2021,15/11/2021,Activo,INTERNO,NA,NA,GO,NOGO,SMART SCOPE,INT066,Cold Forging,AUT-9318-000,,Calibración Vigente,183
FIX-9318-264,Diametro external,05/06/2021,05/12/2021,15/11/2021,Activo,INTERNO,NA,NA,GO,NOGO,SMART SCOPE,INT066,Cold Forging,AUT-9318-000,,Calibración Vigente,183
FIX-9318-263,GAGE GO,05/06/2021,05/12/2021,15/11/2021,Activo,INTERNO,NA,NA,GO,NOGO,SMART SCOPE,INT066,Cold Forging,AUT-9318-000,,Calibración Vigente,183
FIX-9318-262,Gage esfera,05/06/2021,05/12/2021,15/11/2021,Activo,INTERNO,NA,NA,GO,NOGO,SMART SCOPE,INT066,Cold Forging,AUT-9318-000,,Calibración Vigente,183
FIX-9318-261,GAGE  GO,05/06/2021,05/12/2021,15/11/2021,Activo,INTERNO,NA,NA,GO,NOGO,SMART SCOPE,INT066,Cold Forging,AUT-9318-000,,Calibración Vigente,183
FIX-9318-260,Gage esfera,05/06/2021,05/12/2021,15/11/2021,Activo,INTERNO,NA,NA,GO,NOGO,SMART SCOPE,INT066,Cold Forging,AUT-9318-000,,Calibración Vigente,183
FIX-5619-259,GO/NO GO,12/06/2019,12/12/2019,22/11/2019,En proceso,INTERNO,NA,NA,GO,NOGO,SMART SCOPE,INT066,Estampados,Denso,,En proceso,183
FIX-8515-258,GO/NO GO,31/05/2021,30/11/2021,10/11/2021,Activo,INTERNO,NA,NA,GO,NOGO,SMART SCOPE,INT066,Moldeo,SEN-8515-000,,Calibración Vigente,183
FIX-8515-257,GO/NO GO,01/06/2021,01/12/2021,11/11/2021,Activo,INTERNO,NA,NA,GO,NOGO,SMART SCOPE,INT066,Moldeo,SEN-8515-000,,Calibración Vigente,183
FIX-5619-256,GO/NO GO,12/06/2019,12/12/2019,22/11/2019,En proceso,INTERNO,NA,NA,GO,NOGO,SMART SCOPE,INT066,Estampados,DEN-5619-000,,En proceso,183
FIX-3266-255,GO/NO GO,30/11/2019,31/05/2020,11/05/2020,Baja,INTERNO,NA,NA,GO,NOGO,SMART SCOPE,INT066,Moldeo,COT-3266-000,,Baja,183
FIX-BORE GAGE-254,Bore Gage,16/07/2021,16/01/2022,27/12/2021,Activo,INTERNO,NA,NA,GO,NOGO,SMART SCOPE,INT066,Moldeo,TRW-5874-000,,Calibración Vigente,184
FIX-BORE GAGE-253,Bore Gage,16/07/2021,16/01/2022,27/12/2021,Activo,INTERNO,NA,NA,GO,NOGO,SMART SCOPE,INT066,Moldeo,TRW-5874-000,,Calibración Vigente,184
FIX-5874-252,Presencia,09/11/2019,10/05/2020,20/04/2020,Reemplazo,INTERNO,NA,NA,GO,NOGO,SMART SCOPE,INT066,Moldeo,TRW-5874-000,,Reemplazo,183
FIX-5874-251,Presencia,15/12/2020,16/06/2021,27/05/2021,Baja,INTERNO,NA,NA,GO,NOGO,SMART SCOPE,INT066,Moldeo,TRW-5874-000,,Baja,183
FIX-5874-250,Presencia,04/06/2021,04/12/2021,14/11/2021,Activo,INTERNO,NA,NA,GO,NOGO,SMART SCOPE,INT066,Moldeo,TRW-5874-000,,Calibración Vigente,183
FIX-6798-249,GO/NO GO,15/04/2021,15/10/2021,25/09/2021,Activo,INTERNO,NA,NA,GO,NOGO,Micrómetro,INT306,Moldeo,SORTEO,,Calibración Vigente,183
FIX-6194-248,GO/NO GO,10/05/2020,09/11/2020,20/10/2020,Reemplazo,INTERNO,NA,NA,GO,NOGO,SMART SCOPE,INT066,Moldeo,BOS-6194-000,,Reemplazo,183
FIX-6798-246,GO/NO GO,21/04/2020,21/10/2020,01/10/2020,Extraviado,INTERNO,NA,NA,GO,NOGO,Micrómetro,INT194,Moldeo,HEL-6798-000,,Baja,183
FIX-6194-245,TP PINES,28/10/2020,29/04/2021,09/04/2021,Reemplazo,INTERNO,NA,NA,GO,NOGO,SMART SCOPE,INT066,Moldeo,BOS-6194-000,,Reemplazo,183
FIX-6798-244,GO/NO GO,19/04/2019,19/10/2019,29/09/2019,Baja,INTERNO,NA,NA,GO,NOGO,Micrómetro,INT194,Moldeo,HEL-6798-000,,Baja,183
FIX-6798-243,GO/NO GO,20/03/2021,19/09/2021,30/08/2021,Activo,INTERNO,NA,NA,GO,NOGO,Micrómetro,INT194,Moldeo,SORTEO,,Calibración Vigente,183
FIX-6798-242,GO/NO GO,15/04/2021,15/10/2021,25/09/2021,Activo,INTERNO,NA,NA,GO,NOGO,Micrómetro,INT194,Moldeo,Hel-6798-000,,Calibración Vigente,183
FIX-6798-241,GO/NO GO,10/04/2019,10/10/2019,20/09/2019,Baja,INTERNO,NA,NA,GO,NOGO,Micrómetro,INT194,Moldeo,HEL-6798-000,,Baja,183
FIX-5999-240,GO/NO GO,13/04/2020,13/10/2020,23/09/2020,Baja,INTERNO,NA,NA,GO,NOGO,SMART SCOPE,INT066,Moldeo,COT-5999-000,,Baja,183
