['DUM-873', 'Corto Pin 3 y 4 - 5 y 6', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-8422-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-867', 'Corto Pin 18- 19', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-8422-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-866', 'Corto Pin 17- 18', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-8422-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-865', 'Corto Pin 16- 17', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-8422-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-871', 'Corto Pin 15- 19', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-8422-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-864', 'Corto Pin 14- 15', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-8422-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-863', 'Corto Pin 13- 14', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-8422-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-868', 'Corto Pin 12- 16', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-8422-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-862', 'Corto Pin 12- 13', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-8422-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-872', 'Corto Pin 1 y 2 - 3 y 4', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-8422-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-832', '8422 Pin8 corto 2.72', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-8422-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-844', '8422 Pin34 corto 7.914', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-8422-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-845', '8422 Pin33 corto 7.90', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-8422-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-829', '8422 Pin31 Corto 8.38', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-8422-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-834', '8422 Pin23 corto 2.17', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-8422-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-833', '8422 Pin22 corto 2.18', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-8422-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-835', '8422 Pin21 corto 6.86', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-8422-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-831', '8422 Pin19 Corto 2.54', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-8422-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-830', '8422 Pin15 Corto 2.60', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-8422-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-828', '8422 Pin1 Corto 2.72', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-8422-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-843', '8422 Pin 36 corto 8.40', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-8422-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-836', '8422 Pin 20 corto 6.84', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-8422-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-885', '8422 Pieza OK', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-8422-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-886', '8422 Pieza OK', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-8422-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-870', '8422 Corto Pin 14- 18', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-8422-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-869', '8422 Corto Pin 13- 17', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-8422-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-798', '7121  Pieza OK componentes', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-7121-100', 'NA', 'NA', 'NA - NA', '6']
['DUM-1170', '7121-Capacitador da;ado', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-7121-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-1171', '7121-Capacitador da;ado', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-7121-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-789', '7121 Tab corto', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-7121-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-780', '7121- Sin Capacitor Murata', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-7121-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-781', '7121- Sin Capacitor Epcos', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-7121-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-794', '7121 Pieza OK', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-7121-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-790', '7121 Murata Fisurado ', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-7121-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-792', '7121 Golpe en HS', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-7121-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-785', '7121 CONTINUIDAD', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-7121-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-025', '7121 Baja capacitancia', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-7121-000', 'NA', 'NA', 'NO GO - NA', '6']
['DUM-026', '7121 Baja capacitancia', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-7121-000', 'NA', 'NA', 'NO GO - NA', '6']
['DUM-795', '7121  Tab Invertido  en hipot', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-7121-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-779', '7121 - Sin Tab', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-7121-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-791', '7121  Raya en Heat Sink', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-7121-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-793', '7121  Golpe en HS', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-7121-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-786', '7121  Fuga Capacitor Epcos', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-7121-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-797', '7121  Exceso de rebaba ', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-7121-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-784', '7121  Corto Term.3', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-7121-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-783', '7121  Corto Term.2', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-7121-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-782', '7121  Corto Term.1', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-7121-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-510', '6652 Sin Tap', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-6652-100', 'NA', 'NA', 'NA - NA', '6']
['DUM-508', '6652 Sin capacitor', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-6652-100', 'NA', 'NA', 'NA - NA', '6']
['DUM-509', '6652 Sin capacitor', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-6652-100', 'NA', 'NA', 'NA - NA', '6']
['DUM-511', '6652 Pza Ok Componentes', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-6652-100', 'NA', 'NA', 'NA - NA', '6']
['DUM-438', '6652 Pieza s/corto', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-6652-100', 'NA', 'NA', 'NA - NA', '6']
['DUM-515', '6652 Hipot Moldeada', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-6652-100', 'NA', 'NA', 'NA - NA', '6']
['DUM-516', '6652 Hipot Moldeada', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-6652-100', 'NA', 'NA', 'NA - NA', '6']
['DUM-517', '6652 Hipot Moldeada', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-6652-100', 'NA', 'NA', 'NA - NA', '6']
['DUM-518', '6652 Hipot Moldeada', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-6652-100', 'NA', 'NA', 'NA - NA', '6']
['DUM-431', '6652 Cotp union 5', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-6652-100', 'NA', 'NA', 'NA - NA', '6']
['DUM-435', '6652 Corto unión 9', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-6652-100', 'NA', 'NA', 'NA - NA', '6']
['DUM-434', '6652 Corto unión 8', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-6652-100', 'NA', 'NA', 'NA - NA', '6']
['DUM-433', '6652 Corto unión 7', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-6652-100', 'NA', 'NA', 'NA - NA', '6']
['DUM-432', '6652 Corto unión 6', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-6652-100', 'NA', 'NA', 'NA - NA', '6']
['DUM-430', '6652 Corto unión 4', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-6652-100', 'NA', 'NA', 'NA - NA', '6']
['DUM-429', '6652 Corto unión 3', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-6652-100', 'NA', 'NA', 'NA - NA', '6']
['DUM-428', '6652 Corto unión 2', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-6652-100', 'NA', 'NA', 'NA - NA', '6']
['DUM-437', '6652 Corto unión 11', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-6652-100', 'NA', 'NA', 'NA - NA', '6']
['DUM-436', '6652 Corto unión 10', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-6652-100', 'NA', 'NA', 'NA - NA', '6']
['DUM-427', '6652 Corto unión 1', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-6652-100', 'NA', 'NA', 'NA - NA', '6']
